,municipio
942,General Bravo
943,China
944,Santiago
945,General Terán
946,Cadereyta Jiménez
947,Montemorelos
948,Rayones
949,Linares
950,Iturbide
951,Hualahuises
952,Doctor Arroyo
953,Aramberri
954,General Zaragoza
955,Mier y Noriega
956,Oaxaca de Juárez
957,Villa de Etla
958,San Juan Bautista Atatlahuca
959,San Jerónimo Sosola
960,San Juan Bautista Jayacatlán
961,San Francisco Telixtlahuaca
962,Santiago Tenango
963,San Pablo Huitzo
964,San Juan del Estado
965,Magdalena Apasco
966,Santiago Suchilquitongo
967,San Juan Bautista Guelache
968,Reyes Etla
969,Nazareno Etla
970,San Andrés Zautla
971,San Agustín Etla
972,Soledad Etla
973,Santo Tomás Mazaltepec
974,Guadalupe Etla
975,San Pablo Etla
976,San Felipe Tejalápam
977,San Lorenzo Cacaotepec
978,Santa María Peñoles
979,Santiago Tlazoyaltepec
980,Tlalixtac de Cabrera
981,San Jacinto Amilpas
982,San Andrés Huayápam
983,San Agustín Yatareni
984,Santo Domingo Tomaltepec
985,Santa María del Tule
986,San Juan Bautista Tuxtepec
987,Loma Bonita
988,San José Independencia
989,Cosolapa
990,Acatlán de Pérez Figueroa
991,San Miguel Soyaltepec
992,Ayotzintepec
993,San Pedro Ixcatlán
994,San José Chiltepec
995,San Felipe Jalapa de Díaz
996,Santa María Jacatepec
997,San Lucas Ojitlán
998,San Juan Bautista Valle Nacional
999,San Felipe Usila
1000,Huautla de Jiménez
1001,Santa María Chilchotla
1002,Santa Ana Ateixtlahuaca
1003,San Lorenzo Cuaunecuiltitla
1004,San Francisco Huehuetlán
1005,San Pedro Ocopetatillo
1006,Santa Cruz Acatepec
1007,Eloxochitlán de Flores Magón
1008,Santiago Texcalcingo
1009,Teotitlán de Flores Magón
1010,Santa María Teopoxco
1011,San Martín Toxpalan
1012,San Jerónimo Tecóatl
1013,Santa María la Asunción
1014,Huautepec
1015,San Juan Coatzóspam
1016,San Lucas Zoquiápam
1017,San Antonio Nanahuatípam
1018,San José Tenango
1019,San Mateo Yoloxochitlán
1020,San Bartolomé Ayautla
1021,Mazatlán Villa de Flores
1022,San Juan de los Cués
1023,Santa María Tecomavaca
1024,Santa María Ixcatlán
1025,San Juan Bautista Cuicatlán
1026,Cuyamecalco Villa de Zaragoza
1027,Santa Ana Cuauhtémoc
1028,Chiquihuitlán de Benito Juárez
1029,San Pedro Teutila
1030,San Miguel Santa Flor
1031,Santa María Tlalixtac
1032,San Andrés Teotilálpam
1033,San Francisco Chapulapa
1034,Concepción Pápalo
1035,Santos Reyes Pápalo
1036,San Juan Bautista Tlacoatzintepec
1037,Santa María Pápalo
1038,San Juan Tepeuxila
1039,San Pedro Sochiápam
1040,Valerio Trujano
1041,San Pedro Jocotipac
1042,Santa María Texcatitlán
1043,San Pedro Jaltepetongo
1044,Santiago Nacaltepec
1045,Natividad
1046,San Juan Quiotepec
1047,San Pedro Yólox
1048,Santiago Comaltepec
1049,Abejones
1050,San Pablo Macuiltianguis
1051,Ixtlán de Juárez
1052,San Juan Atepec
1053,San Pedro Yaneri
1054,San Miguel Aloápam
1055,Teococuilco de Marcos Pérez
1056,Santa Ana Yareni
1057,San Juan Evangelista Analco
1058,Santa María Jaltianguis
1059,San Miguel del Río
1060,San Juan Chicomezúchil
1061,Capulálpam de Méndez
1062,Nuevo Zoquiápam
1063,Santiago Xiacuí
1064,Guelatao de Juárez
1065,Santa Catarina Ixtepeji
1066,San Miguel Yotao
1067,Santa Catarina Lachatao
1068,San Miguel Amatlán
1069,Santa María Yavesía
1070,Santiago Laxopa
1071,San Ildefonso Villa Alta
1072,Santiago Camotlán
1073,San Juan Yaeé
1074,Santiago Lalopa
1075,San Juan Yatzona
1076,Villa Talea de Castro
1077,Tanetze de Zaragoza
1078,San Juan Juquila Vijanos
1079,San Cristóbal Lachirioag
1080,Santa María Temaxcalapa
1081,Santo Domingo Roayaga
1082,Santa María Yalina
1083,San Andrés Solaga
1084,San Juan Tabaá
1085,San Melchor Betaza
1086,San Andrés Yaá
1087,San Bartolomé Zoogocho
1088,San Baltazar Yatzachi el Bajo
1089,Santiago Zoochila
1090,San Francisco Cajonos
1091,San Mateo Cajonos
1092,San Pedro Cajonos
1093,Santo Domingo Xagacía
1094,San Pablo Yaganiza
1095,Santiago Choápam
1096,Santiago Jocotepec
1097,San Juan Lalana
1098,Santiago Yaveo
1099,San Juan Petlapa
1100,San Juan Comaltepec
